REGION,PSU,PSU_VAR,PSUSTRAT,URBANICITY,STRATUM,PJ,WEIGHT,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERMVIT,MONTH,DAY_WEEK,WKDY_IM,HOUR,HOUR_IM,MINUTE,MINUTENAME,MINUTE_IM,MINUTE_IMNAME,HARM_EV,EVENT1_IM,MAN_COLL,MANCOL_IM,RELJCT1,RELJCT1_IM,RELJCT2,RELJCT2_IM,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,LGTCON_IM,WEATHER,WEATHR_IM,SCH_BUS,INT_HWY,MAX_SEV,MAXSEV_IM,NUM_INJ,NO_INJ_IM,ALCOHOL,ALCHL_IM
3,78,78,10,1,7,4146,133.6238468,0,0,4,4,0,6,1,4,4,8,8,15,15,15,15,12,12,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,2,2
3,40,40,15,1,2,4147,20.72461936,1,1,2,2,0,2,1,1,1,18,18,35,35,35,35,12,12,8,8,0,0,1,1,1,1,0,2,2,98,1,0,0,4,4,2,2,2,2
3,40,40,15,1,8,4147,119.1797073,0,0,2,2,0,2,1,3,3,10,10,27,27,27,27,12,12,6,6,0,0,2,2,2,1,0,1,1,4,4,0,0,2,2,2,2,2,2
3,40,40,15,1,10,4147,192.8775501,0,0,2,2,0,2,1,3,3,9,9,40,40,40,40,12,12,1,1,0,0,3,3,2,1,0,1,1,4,4,0,0,0,0,0,0,9,2
3,55,55,17,2,7,1055,126.1067689,0,0,2,2,0,2,1,4,4,11,11,40,40,40,40,12,12,1,1,0,0,1,1,1,1,0,1,1,10,10,0,1,1,1,1,1,2,2
3,35,35,13,1,9,4141,124.2129033,0,0,2,2,0,3,1,3,3,17,17,45,45,45,45,12,12,1,1,0,0,1,1,1,1,0,2,2,1,1,0,0,0,0,0,0,2,2
3,35,35,13,1,7,4141,133.3549547,0,5,2,1,1,1,1,3,3,5,5,33,33,33,33,14,14,0,0,0,0,1,1,1,2,0,2,2,1,1,0,0,0,0,0,0,2,2
3,35,35,13,1,10,4141,196.1719023,0,0,2,2,0,3,1,2,2,17,17,45,45,45,45,12,12,1,1,0,0,1,1,1,1,0,3,3,4,4,0,0,0,0,0,0,2,2
3,32,32,17,2,8,4145,117.6182599,0,0,1,1,0,1,1,2,2,8,8,30,30,30,30,53,53,0,0,0,0,1,1,1,4,0,1,1,4,4,0,0,2,2,1,1,2,2
3,32,32,17,2,10,4145,191.4574406,0,0,1,1,0,1,1,4,4,7,7,29,29,29,29,41,41,0,0,0,0,1,1,1,4,0,3,3,10,10,0,0,0,0,0,0,2,2
